observation;partrate;houseratio;savingrate;vehiculesale
1976-01-01;60,7;7,5;11,7;885,200
1976-02-01;60,7;5,7;12,3;994,700
1976-03-01;60,8;5,7;12,2;1243,600
1976-04-01;60,9;5,2;11,7;1191,200
1976-05-01;60,9;5,9;12,3;1203,200
1976-06-01;62,5;6,1;11,4;1254,700
1976-07-01;63,1;6,1;11,7;1162,300
1976-08-01;62,7;5,7;11,7;1026,100
1976-09-01;61,5;5,9;11,4;1057,900
1976-10-01;61,8;6,4;11,1;1129,400
1976-11-01;61,8;7,3;11,4;1084,400
1976-12-01;61,6;7,7;10,6;1061,800
1977-01-01;61,0;6,2;10,6;969,900
1977-02-01;61,3;5,0;9,3;1092,100
1977-03-01;61,5;4,2;10,5;1451,100
1977-04-01;61,5;4,5;10,5;1354,400
1977-05-01;61,6;4,6;10,3;1377,100
1977-06-01;63,4;5,0;10,6;1459,800
1977-07-01;63,4;5,9;10,5;1202,000
1977-08-01;63,2;5,3;10,9;1234,500
1977-09-01;62,2;5,5;11,1;1104,600
1977-10-01;62,6;6,4;11,0;1341,300
1977-11-01;62,8;7,4;11,2;1181,600
1977-12-01;62,5;8,0;11,4;1090,600
1978-01-01;62,1;7,0;11,9;931,300
1978-02-01;62,0;6,2;11,1;1071,400
1978-03-01;62,2;5,3;11,0;1480,600
1978-04-01;62,4;4,8;10,8;1406,500
1978-05-01;62,6;5,1;10,3;1557,600
1978-06-01;64,3;5,5;10,0;1549,400
1978-07-01;64,5;6,2;10,9;1289,200
1978-08-01;64,1;5,9;10,5;1317,100
1978-09-01;63,2;6,2;10,6;1103,500
1978-10-01;63,6;5,9;10,7;1397,000
1978-11-01;63,5;8,0;10,5;1248,700
1978-12-01;63,4;8,3;10,4;1068,500
1979-01-01;62,9;7,8;11,1;1077,500
1979-02-01;63,0;6,8;11,1;1148,700
1979-03-01;63,2;5,7;11,2;1483,800
1979-04-01;62,9;5,7;11,0;1304,600
1979-05-01;62,9;6,2;10,3;1373,000
1979-06-01;64,5;6,6;9,9;1183,800
1979-07-01;64,9;6,5;10,6;1164,400
1979-08-01;64,5;6,2;9,7;1207,200
1979-09-01;63,8;6,9;9,4;1029,600
1979-10-01;64,0;7,7;9,7;1197,600
1979-11-01;63,8;10,0;9,7;1018,600
1979-12-01;63,8;11,6;10,1;959,700
1980-01-01;63,3;9,1;9,9;1042,000
1980-02-01;63,2;8,6;10,1;1038,700
1980-03-01;63,2;8,4;10,2;1141,900
1980-04-01;63,2;10,0;11,3;946,600
1980-05-01;63,5;7,9;11,4;893,800
1980-06-01;64,6;6,8;11,2;932,700
1980-07-01;65,1;6,2;11,3;1006,600
1980-08-01;64,5;5,4;11,3;884,200
1980-09-01;63,6;6,8;11,7;847,400
1980-10-01;63,9;7,5;11,3;1043,400
1980-11-01;63,7;8,8;11,6;870,500
1980-12-01;63,4;10,3;11,4;821,400
1981-01-01;63,2;9,0;10,9;814,300
1981-02-01;63,2;8,2;10,8;949,200
1981-03-01;63,5;6,6;10,8;1178,800
1981-04-01;63,6;7,4;10,9;962,900
1981-05-01;63,9;7,2;11,0;933,100
1981-06-01;64,6;8,3;10,8;942,700
1981-07-01;65,0;8,7;12,3;896,900
1981-08-01;64,6;9,1;12,0;1009,000
1981-09-01;63,5;10,8;12,4;864,800
1981-10-01;64,0;10,4;13,0;822,000
1981-11-01;63,8;10,7;13,2;743,000
1981-12-01;63,4;9,5;12,5;673,200
1982-01-01;63,0;9,7;12,7;714,400
1982-02-01;63,2;9,1;12,1;840,500
1982-03-01;63,4;7,4;12,2;1057,300
1982-04-01;63,3;8,2;12,9;877,200
1982-05-01;63,9;7,1;12,3;1020,200
1982-06-01;64,8;7,5;12,3;868,400
1982-07-01;65,3;8,1;12,5;827,400
1982-08-01;64,9;6,8;12,6;794,000
1982-09-01;64,0;6,5;11,8;891,100
1982-10-01;64,1;6,2;11,3;840,900
1982-11-01;64,1;6,4;10,9;971,500
1982-12-01;63,8;7,8;10,9;839,300
1983-01-01;63,3;5,8;11,1;789,300
1983-02-01;63,2;5,5;11,1;821,600
1983-03-01;63,3;4,5;10,6;1102,000
1983-04-01;63,2;4,5;10,3;1012,300
1983-05-01;63,4;4,2;9,9;1109,900
1983-06-01;65,1;4,8;9,1;1205,400
1983-07-01;65,4;5,6;9,6;1051,700
1983-08-01;65,1;5,9;9,2;993,100
1983-09-01;64,3;6,2;9,6;980,400
1983-10-01;64,1;5,9;9,7;1126,000
1983-11-01;64,1;6,8;10,3;1050,200
1983-12-01;63,8;6,3;10,1;1054,000
1984-01-01;63,3;5,7;10,0;1056,900
1984-02-01;63,4;5,2;11,7;1158,900
1984-03-01;63,6;5,0;11,5;1351,500
1984-04-01;63,7;5,3;11,5;1245,800
1984-05-01;64,3;5,6;11,1;1451,700
1984-06-01;65,5;5,9;11,1;1315,900
1984-07-01;65,9;6,6;11,6;1237,200
1984-08-01;65,2;7,2;11,8;1129,600
1984-09-01;64,4;6,5;11,8;1053,400
1984-10-01;64,6;6,4;11,7;1266,500
1984-11-01;64,4;8,5;10,9;1141,100
1984-12-01;64,3;9,4;11,2;1074,800
1985-01-01;64,0;7,3;10,3;1196,600
1985-02-01;64,0;6,3;9,1;1210,600
1985-03-01;64,4;5,2;8,7;1391,000
1985-04-01;64,3;5,9;9,9;1380,300
1985-05-01;64,6;5,5;11,1;1498,900
1985-06-01;65,5;5,4;9,6;1332,900
1985-07-01;65,9;5,6;9,1;1337,600
1985-08-01;65,4;5,8;8,2;1345,800
1985-09-01;64,9;6,5;7,3;1463,500
1985-10-01;65,1;6,9;9,1;1243,200
1985-11-01;64,9;7,0;9,0;1120,900
1985-12-01;64,6;7,5;8,6;1198,800
1986-01-01;64,2;6,4;8,6;1213,800
1986-02-01;64,4;5,8;9,3;1182,200
1986-03-01;64,6;3,7;9,9;1297,600
1986-04-01;64,6;4,0;9,7;1390,100
1986-05-01;65,0;4,5;9,3;1530,300
1986-06-01;66,3;5,1;9,4;1426,500
1986-07-01;66,6;6,1;9,3;1378,000
1986-08-01;66,1;6,8;9,0;1344,100
1986-09-01;65,3;5,9;7,2;1733,600
1986-10-01;65,5;6,8;8,4;1270,600
1986-11-01;65,4;7,4;8,8;1119,900
1986-12-01;65,0;7,4;7,0;1431,100
1987-01-01;64,7;6,7;9,7;918,900
1987-02-01;64,8;5,9;8,5;1148,400
1987-03-01;65,0;4,8;8,5;1381,700
1987-04-01;64,9;4,9;4,5;1385,300
1987-05-01;65,6;5,7;8,2;1298,500
1987-06-01;66,3;6,2;7,7;1419,600
1987-07-01;66,8;6,6;7,5;1355,800
1987-08-01;66,5;6,5;7,2;1400,600
1987-09-01;65,5;7,0;7,6;1300,500
1987-10-01;65,9;7,0;8,3;1193,200
1987-11-01;65,7;8,4;8,5;1110,700
1987-12-01;65,5;10,0;8,7;1249,200
1988-01-01;65,1;8,6;8,1;1122,500
1988-02-01;65,2;6,6;8,6;1308,800
1988-03-01;65,2;5,4;8,2;1505,000
1988-04-01;65,3;5,4;8,8;1333,500
1988-05-01;65,5;5,7;8,4;1455,400
1988-06-01;66,7;5,6;8,4;1483,100
1988-07-01;67,1;6,4;8,6;1302,800
1988-08-01;66,8;6,2;8,4;1317,000
1988-09-01;65,9;6,7;8,9;1223,200
1988-10-01;66,1;6,3;8,6;1249,900
1988-11-01;66,2;8,5;8,4;1191,100
1988-12-01;65,9;8,8;8,3;1285,200
1989-01-01;65,8;7,0;8,5;1084,200
1989-02-01;65,6;7,2;9,0;1127,300
1989-03-01;65,7;6,4;9,5;1337,600
1989-04-01;65,9;6,2;8,4;1354,800
1989-05-01;66,2;6,2;8,1;1438,400
1989-06-01;67,4;6,5;8,2;1329,200
1989-07-01;67,7;6,0;8,2;1279,100
1989-08-01;67,2;6,0;7,6;1441,900
1989-09-01;66,3;7,5;8,1;1263,800
1989-10-01;66,6;7,3;8,5;1116,900
1989-11-01;66,7;7,8;8,6;1047,600
1989-12-01;66,3;9,2;7,8;1011,900
1990-01-01;66,0;8,1;8,0;1161,300
1990-02-01;66,0;7,2;8,6;1073,400
1990-03-01;66,2;6,2;8,3;1295,200
1990-04-01;66,1;6,9;8,8;1226,300
1990-05-01;66,5;7,2;8,7;1332,100
1990-06-01;67,4;7,2;8,6;1306,100
1990-07-01;67,7;7,6;8,7;1244,400
1990-08-01;67,1;7,6;8,1;1196,900
1990-09-01;66,4;8,8;8,1;1144,800
1990-10-01;66,5;9,1;7,8;1169,000
1990-11-01;66,3;9,7;7,9;1000,500
1990-12-01;66,1;10,9;8,8;987,200
1991-01-01;65,5;10,7;9,3;839,300
1991-02-01;65,7;7,7;8,8;927,500
1991-03-01;65,9;5,9;8,0;1103,100
1991-04-01;66,0;6,0;8,6;1059,600
1991-05-01;66,0;6,3;8,4;1174,000
1991-06-01;67,2;6,3;8,9;1175,300
1991-07-01;67,3;6,8;8,2;1185,200
1991-08-01;66,6;6,3;8,6;1063,000
